institution,year,status,total
Akershus universitetssykehus HF,2013,diamond,12
Akershus universitetssykehus HF,2013,gold,50
Akershus universitetssykehus HF,2013,hybrid,8
Akershus universitetssykehus HF,2013,green,15
Akershus universitetssykehus HF,2013,closed,143
Akershus universitetssykehus HF,2014,diamond,5
Akershus universitetssykehus HF,2014,gold,60
Akershus universitetssykehus HF,2014,hybrid,24
Akershus universitetssykehus HF,2014,green,16
Akershus universitetssykehus HF,2014,closed,132
Akershus universitetssykehus HF,2015,diamond,12
Akershus universitetssykehus HF,2015,gold,67
Akershus universitetssykehus HF,2015,hybrid,28
Akershus universitetssykehus HF,2015,green,25
Akershus universitetssykehus HF,2015,closed,151
Akershus universitetssykehus HF,2016,diamond,7
Akershus universitetssykehus HF,2016,gold,102
Akershus universitetssykehus HF,2016,hybrid,28
Akershus universitetssykehus HF,2016,green,42
Akershus universitetssykehus HF,2016,closed,178
Akershus universitetssykehus HF,2017,diamond,10
Akershus universitetssykehus HF,2017,gold,128
Akershus universitetssykehus HF,2017,hybrid,30
Akershus universitetssykehus HF,2017,green,89
Akershus universitetssykehus HF,2017,closed,97
Akershus universitetssykehus HF,2018,diamond,13
Akershus universitetssykehus HF,2018,gold,93
Akershus universitetssykehus HF,2018,hybrid,42
Akershus universitetssykehus HF,2018,green,86
Akershus universitetssykehus HF,2018,closed,86
Akershus universitetssykehus HF,2019,diamond,11
Akershus universitetssykehus HF,2019,gold,122
Akershus universitetssykehus HF,2019,hybrid,33
Akershus universitetssykehus HF,2019,hybrid_agreement,14
Akershus universitetssykehus HF,2019,green,76
Akershus universitetssykehus HF,2019,deposited,1
Akershus universitetssykehus HF,2019,closed,63
Akershus universitetssykehus HF,2020,diamond,11
Akershus universitetssykehus HF,2020,gold,125
Akershus universitetssykehus HF,2020,hybrid,30
Akershus universitetssykehus HF,2020,hybrid_agreement,68
Akershus universitetssykehus HF,2020,green,56
Akershus universitetssykehus HF,2020,deposited,1
Akershus universitetssykehus HF,2020,closed,40
Akershus universitetssykehus HF,2021,diamond,12
Akershus universitetssykehus HF,2021,gold,175
Akershus universitetssykehus HF,2021,hybrid,51
Akershus universitetssykehus HF,2021,hybrid_agreement,100
Akershus universitetssykehus HF,2021,green,41
Akershus universitetssykehus HF,2021,closed,48
Akershus universitetssykehus HF,2022,diamond,3
Akershus universitetssykehus HF,2022,gold,208
Akershus universitetssykehus HF,2022,hybrid,48
Akershus universitetssykehus HF,2022,hybrid_agreement,87
Akershus universitetssykehus HF,2022,green,44
Akershus universitetssykehus HF,2022,closed,38
Akershus universitetssykehus HF,2023,diamond,12
Akershus universitetssykehus HF,2023,gold,174
Akershus universitetssykehus HF,2023,hybrid,60
Akershus universitetssykehus HF,2023,hybrid_agreement,87
Akershus universitetssykehus HF,2023,green,28
Akershus universitetssykehus HF,2023,closed,40
Akershus universitetssykehus HF,2024,diamond,17
Akershus universitetssykehus HF,2024,gold,183
Akershus universitetssykehus HF,2024,hybrid,55
Akershus universitetssykehus HF,2024,hybrid_agreement,91
Akershus universitetssykehus HF,2024,green,28
Akershus universitetssykehus HF,2024,deposited,2
Akershus universitetssykehus HF,2024,closed,44
Akershus universitetssykehus HF,2025,diamond,13
Akershus universitetssykehus HF,2025,gold,224
Akershus universitetssykehus HF,2025,hybrid,79
Akershus universitetssykehus HF,2025,hybrid_agreement,92
Akershus universitetssykehus HF,2025,green,31
Akershus universitetssykehus HF,2025,deposited,18
Akershus universitetssykehus HF,2025,closed,43
Akvaplan-niva AS,2022,diamond,1
Akvaplan-niva AS,2022,gold,20
Akvaplan-niva AS,2022,hybrid,8
Akvaplan-niva AS,2022,hybrid_agreement,8
Akvaplan-niva AS,2022,green,5
Akvaplan-niva AS,2022,closed,6
Akvaplan-niva AS,2023,gold,27
Akvaplan-niva AS,2023,hybrid,5
Akvaplan-niva AS,2023,hybrid_agreement,20
Akvaplan-niva AS,2023,green,6
Akvaplan-niva AS,2023,closed,3
Akvaplan-niva AS,2024,diamond,1
Akvaplan-niva AS,2024,gold,29
Akvaplan-niva AS,2024,hybrid,7
Akvaplan-niva AS,2024,hybrid_agreement,10
Akvaplan-niva AS,2024,green,2
Akvaplan-niva AS,2024,closed,6
Akvaplan-niva AS,2025,diamond,1
Akvaplan-niva AS,2025,gold,33
Akvaplan-niva AS,2025,hybrid,8
Akvaplan-niva AS,2025,hybrid_agreement,11
Akvaplan-niva AS,2025,green,2
Akvaplan-niva AS,2025,deposited,2
Akvaplan-niva AS,2025,closed,6
Ansgar høyskole,2013,diamond,1
Ansgar høyskole,2013,green,1
Ansgar høyskole,2013,closed,3
Ansgar høyskole,2014,gold,1
Ansgar høyskole,2014,green,1
Ansgar høyskole,2014,closed,6
Ansgar høyskole,2015,diamond,1
Ansgar høyskole,2015,green,1
Ansgar høyskole,2015,closed,4
Ansgar høyskole,2016,diamond,2
Ansgar høyskole,2016,gold,1
Ansgar høyskole,2016,closed,6
Ansgar høyskole,2017,diamond,2
Ansgar høyskole,2017,closed,2
Ansgar høyskole,2018,gold,1
Ansgar høyskole,2018,closed,5
Ansgar høyskole,2019,diamond,1
Ansgar høyskole,2019,gold,1
Ansgar høyskole,2019,closed,6
Ansgar høyskole,2020,diamond,2
Ansgar høyskole,2020,gold,1
Ansgar høyskole,2020,closed,7
Ansgar høyskole,2021,diamond,2
Ansgar høyskole,2021,green,1
Ansgar høyskole,2021,closed,6
Ansgar høyskole,2022,diamond,3
Ansgar høyskole,2022,green,1
Ansgar høyskole,2022,closed,6
Ansgar høyskole,2023,diamond,5
Ansgar høyskole,2023,gold,2
Ansgar høyskole,2023,hybrid_agreement,1
Ansgar høyskole,2023,green,1
Ansgar høyskole,2023,closed,8
Ansgar høyskole,2024,hybrid,3
Ansgar høyskole,2024,green,2
Ansgar høyskole,2024,closed,3
Ansgar høyskole,2025,diamond,3
Ansgar høyskole,2025,gold,4
Ansgar høyskole,2025,hybrid_agreement,2
Ansgar høyskole,2025,closed,2
Arkitektur- og designhøgskolen i Oslo,2013,diamond,3
Arkitektur- og designhøgskolen i Oslo,2013,gold,3
Arkitektur- og designhøgskolen i Oslo,2013,green,4
Arkitektur- og designhøgskolen i Oslo,2013,closed,14
Arkitektur- og designhøgskolen i Oslo,2014,diamond,3
Arkitektur- og designhøgskolen i Oslo,2014,gold,3
Arkitektur- og designhøgskolen i Oslo,2014,green,8
Arkitektur- og designhøgskolen i Oslo,2014,closed,9
Arkitektur- og designhøgskolen i Oslo,2015,diamond,3
Arkitektur- og designhøgskolen i Oslo,2015,gold,2
Arkitektur- og designhøgskolen i Oslo,2015,green,2
Arkitektur- og designhøgskolen i Oslo,2015,closed,18
Arkitektur- og designhøgskolen i Oslo,2016,diamond,2
Arkitektur- og designhøgskolen i Oslo,2016,gold,3
Arkitektur- og designhøgskolen i Oslo,2016,green,7
Arkitektur- og designhøgskolen i Oslo,2016,closed,7
Arkitektur- og designhøgskolen i Oslo,2017,diamond,4
Arkitektur- og designhøgskolen i Oslo,2017,gold,1
Arkitektur- og designhøgskolen i Oslo,2017,hybrid,5
Arkitektur- og designhøgskolen i Oslo,2017,green,7
Arkitektur- og designhøgskolen i Oslo,2017,closed,3
Arkitektur- og designhøgskolen i Oslo,2018,diamond,1
Arkitektur- og designhøgskolen i Oslo,2018,gold,2
Arkitektur- og designhøgskolen i Oslo,2018,green,9
Arkitektur- og designhøgskolen i Oslo,2018,closed,5
Arkitektur- og designhøgskolen i Oslo,2019,diamond,5
Arkitektur- og designhøgskolen i Oslo,2019,gold,3
Arkitektur- og designhøgskolen i Oslo,2019,hybrid_agreement,1
Arkitektur- og designhøgskolen i Oslo,2019,green,11
Arkitektur- og designhøgskolen i Oslo,2019,closed,3
Arkitektur- og designhøgskolen i Oslo,2020,diamond,8
Arkitektur- og designhøgskolen i Oslo,2020,gold,4
Arkitektur- og designhøgskolen i Oslo,2020,hybrid,2
Arkitektur- og designhøgskolen i Oslo,2020,green,5
Arkitektur- og designhøgskolen i Oslo,2020,closed,8
Arkitektur- og designhøgskolen i Oslo,2021,diamond,1
Arkitektur- og designhøgskolen i Oslo,2021,gold,7
Arkitektur- og designhøgskolen i Oslo,2021,hybrid,5
Arkitektur- og designhøgskolen i Oslo,2021,hybrid_agreement,2
Arkitektur- og designhøgskolen i Oslo,2021,green,2
Arkitektur- og designhøgskolen i Oslo,2021,closed,11
Arkitektur- og designhøgskolen i Oslo,2022,diamond,8
Arkitektur- og designhøgskolen i Oslo,2022,gold,6
Arkitektur- og designhøgskolen i Oslo,2022,hybrid,6
Arkitektur- og designhøgskolen i Oslo,2022,hybrid_agreement,2
Arkitektur- og designhøgskolen i Oslo,2022,green,2
Arkitektur- og designhøgskolen i Oslo,2022,closed,7
