year,sector,discipline,status,total
2013,archives_libraries_museums,all,closed,2
2013,archives_libraries_museums,humanities,closed,2
2013,all,all,diamond,472
2013,all,all,gold,2084
2013,all,all,hybrid,742
2013,all,all,green,2351
2013,all,all,deposited,4
2013,all,all,closed,10805
2013,all,humanities,diamond,119
2013,all,humanities,gold,39
2013,all,humanities,hybrid,12
2013,all,humanities,green,101
2013,all,humanities,deposited,1
2013,all,humanities,closed,738
2013,all,health_sciences,diamond,136
2013,all,health_sciences,gold,888
2013,all,health_sciences,hybrid,294
2013,all,health_sciences,green,608
2013,all,health_sciences,closed,3630
2013,all,natural_sciences_engineering,diamond,71
2013,all,natural_sciences_engineering,gold,994
2013,all,natural_sciences_engineering,hybrid,366
2013,all,natural_sciences_engineering,green,1120
2013,all,natural_sciences_engineering,deposited,2
2013,all,natural_sciences_engineering,closed,3986
2013,all,social_science,diamond,146
2013,all,social_science,gold,140
2013,all,social_science,hybrid,47
2013,all,social_science,green,398
2013,all,social_science,deposited,1
2013,all,social_science,closed,1802
2013,health,all,diamond,80
2013,health,all,gold,680
2013,health,all,hybrid,194
2013,health,all,green,271
2013,health,all,closed,2056
2013,health,humanities,closed,3
2013,health,health_sciences,diamond,74
2013,health,health_sciences,gold,471
2013,health,health_sciences,hybrid,174
2013,health,health_sciences,green,260
2013,health,health_sciences,closed,1901
2013,health,natural_sciences_engineering,diamond,4
2013,health,natural_sciences_engineering,gold,194
2013,health,natural_sciences_engineering,hybrid,13
2013,health,natural_sciences_engineering,green,9
2013,health,natural_sciences_engineering,closed,104
2013,health,social_science,diamond,2
2013,health,social_science,gold,13
2013,health,social_science,hybrid,4
2013,health,social_science,green,1
2013,health,social_science,closed,40
2013,institute,all,diamond,69
2013,institute,all,gold,592
2013,institute,all,hybrid,154
2013,institute,all,green,596
2013,institute,all,deposited,1
2013,institute,all,closed,2312
2013,institute,humanities,diamond,5
2013,institute,humanities,gold,2
2013,institute,humanities,hybrid,1
2013,institute,humanities,green,10
2013,institute,humanities,closed,39
2013,institute,health_sciences,diamond,37
2013,institute,health_sciences,gold,175
2013,institute,health_sciences,hybrid,70
2013,institute,health_sciences,green,105
2013,institute,health_sciences,closed,661
2013,institute,natural_sciences_engineering,diamond,17
2013,institute,natural_sciences_engineering,gold,375
2013,institute,natural_sciences_engineering,hybrid,64
2013,institute,natural_sciences_engineering,green,346
2013,institute,natural_sciences_engineering,deposited,1
2013,institute,natural_sciences_engineering,closed,1123
2013,institute,social_science,diamond,10
2013,institute,social_science,gold,36
2013,institute,social_science,hybrid,17
2013,institute,social_science,green,111
2013,institute,social_science,closed,373
2013,higher_education,all,diamond,400
2013,higher_education,all,gold,1694
2013,higher_education,all,hybrid,653
2013,higher_education,all,green,2021
2013,higher_education,all,deposited,4
2013,higher_education,all,closed,9191
2013,higher_education,humanities,diamond,115
2013,higher_education,humanities,gold,38
2013,higher_education,humanities,hybrid,11
2013,higher_education,humanities,green,95
2013,higher_education,humanities,deposited,1
2013,higher_education,humanities,closed,706
2013,higher_education,health_sciences,diamond,89
2013,higher_education,health_sciences,gold,747
2013,higher_education,health_sciences,hybrid,241
2013,higher_education,health_sciences,green,515
2013,higher_education,health_sciences,closed,3000
2013,higher_education,natural_sciences_engineering,diamond,59
2013,higher_education,natural_sciences_engineering,gold,772
2013,higher_education,natural_sciences_engineering,hybrid,340
2013,higher_education,natural_sciences_engineering,green,969
2013,higher_education,natural_sciences_engineering,deposited,2
2013,higher_education,natural_sciences_engineering,closed,3368
2013,higher_education,social_science,diamond,137
2013,higher_education,social_science,gold,119
2013,higher_education,social_science,hybrid,39
2013,higher_education,social_science,green,329
2013,higher_education,social_science,deposited,1
2013,higher_education,social_science,closed,1529
2014,archives_libraries_museums,all,closed,1
2014,archives_libraries_museums,humanities,closed,1
2014,all,all,diamond,691
2014,all,all,gold,2597
2014,all,all,hybrid,1103
2014,all,all,green,2696
2014,all,all,deposited,3
2014,all,all,closed,10231
2014,all,humanities,diamond,215
2014,all,humanities,gold,68
2014,all,humanities,hybrid,22
2014,all,humanities,green,134
2014,all,humanities,closed,698
2014,all,health_sciences,diamond,133
2014,all,health_sciences,gold,1100
2014,all,health_sciences,hybrid,491
2014,all,health_sciences,green,691
2014,all,health_sciences,closed,3416
2014,all,natural_sciences_engineering,diamond,155
2014,all,natural_sciences_engineering,gold,1224
2014,all,natural_sciences_engineering,hybrid,446
2014,all,natural_sciences_engineering,green,1261
2014,all,natural_sciences_engineering,deposited,2
2014,all,natural_sciences_engineering,closed,3659
2014,all,social_science,diamond,188
2014,all,social_science,gold,183
2014,all,social_science,hybrid,114
2014,all,social_science,green,481
2014,all,social_science,deposited,1
2014,all,social_science,closed,1731
2014,health,all,diamond,80
2014,health,all,gold,807
2014,health,all,hybrid,329
2014,health,all,green,308
2014,health,all,closed,2045
2014,health,humanities,gold,1
2014,health,humanities,green,2
2014,health,humanities,closed,2
2014,health,health_sciences,diamond,72
2014,health,health_sciences,gold,563
2014,health,health_sciences,hybrid,296
2014,health,health_sciences,green,282
2014,health,health_sciences,closed,1872
2014,health,natural_sciences_engineering,diamond,5
2014,health,natural_sciences_engineering,gold,222
2014,health,natural_sciences_engineering,hybrid,20
2014,health,natural_sciences_engineering,green,13
2014,health,natural_sciences_engineering,closed,110
2014,health,social_science,diamond,3
2014,health,social_science,gold,21
2014,health,social_science,hybrid,7
2014,health,social_science,green,4
2014,health,social_science,closed,34
2014,institute,all,diamond,78
2014,institute,all,gold,702
2014,institute,all,hybrid,279
2014,institute,all,green,663
2014,institute,all,closed,2191
2014,institute,humanities,diamond,7
2014,institute,humanities,gold,5
2014,institute,humanities,green,7
2014,institute,humanities,closed,34
2014,institute,health_sciences,diamond,40
2014,institute,health_sciences,gold,239
2014,institute,health_sciences,hybrid,100
2014,institute,health_sciences,green,156
2014,institute,health_sciences,closed,530
2014,institute,natural_sciences_engineering,diamond,13
