year,sector,discipline,status,total
2013,ABM,Alle,lukket,2
2013,ABM,Humaniora,lukket,2
2013,Alle,Alle,diamant,472
2013,Alle,Alle,gull,2084
2013,Alle,Alle,hybrid,742
2013,Alle,Alle,grønn,2351
2013,Alle,Alle,deponert,4
2013,Alle,Alle,lukket,10805
2013,Alle,Humaniora,diamant,119
2013,Alle,Humaniora,gull,39
2013,Alle,Humaniora,hybrid,12
2013,Alle,Humaniora,grønn,101
2013,Alle,Humaniora,deponert,1
2013,Alle,Humaniora,lukket,738
2013,Alle,Medisin og helsefag,diamant,136
2013,Alle,Medisin og helsefag,gull,888
2013,Alle,Medisin og helsefag,hybrid,294
2013,Alle,Medisin og helsefag,grønn,608
2013,Alle,Medisin og helsefag,lukket,3630
2013,Alle,Realfag og teknologi,diamant,71
2013,Alle,Realfag og teknologi,gull,994
2013,Alle,Realfag og teknologi,hybrid,366
2013,Alle,Realfag og teknologi,grønn,1120
2013,Alle,Realfag og teknologi,deponert,2
2013,Alle,Realfag og teknologi,lukket,3986
2013,Alle,Samfunnsvitenskap,diamant,146
2013,Alle,Samfunnsvitenskap,gull,140
2013,Alle,Samfunnsvitenskap,hybrid,47
2013,Alle,Samfunnsvitenskap,grønn,398
2013,Alle,Samfunnsvitenskap,deponert,1
2013,Alle,Samfunnsvitenskap,lukket,1802
2013,Helse,Alle,diamant,80
2013,Helse,Alle,gull,680
2013,Helse,Alle,hybrid,194
2013,Helse,Alle,grønn,271
2013,Helse,Alle,lukket,2056
2013,Helse,Humaniora,lukket,3
2013,Helse,Medisin og helsefag,diamant,74
2013,Helse,Medisin og helsefag,gull,471
2013,Helse,Medisin og helsefag,hybrid,174
2013,Helse,Medisin og helsefag,grønn,260
2013,Helse,Medisin og helsefag,lukket,1901
2013,Helse,Realfag og teknologi,diamant,4
2013,Helse,Realfag og teknologi,gull,194
2013,Helse,Realfag og teknologi,hybrid,13
2013,Helse,Realfag og teknologi,grønn,9
2013,Helse,Realfag og teknologi,lukket,104
2013,Helse,Samfunnsvitenskap,diamant,2
2013,Helse,Samfunnsvitenskap,gull,13
2013,Helse,Samfunnsvitenskap,hybrid,4
2013,Helse,Samfunnsvitenskap,grønn,1
2013,Helse,Samfunnsvitenskap,lukket,40
2013,Institutt,Alle,diamant,69
2013,Institutt,Alle,gull,592
2013,Institutt,Alle,hybrid,154
2013,Institutt,Alle,grønn,596
2013,Institutt,Alle,deponert,1
2013,Institutt,Alle,lukket,2312
2013,Institutt,Humaniora,diamant,5
2013,Institutt,Humaniora,gull,2
2013,Institutt,Humaniora,hybrid,1
2013,Institutt,Humaniora,grønn,10
2013,Institutt,Humaniora,lukket,39
2013,Institutt,Medisin og helsefag,diamant,37
2013,Institutt,Medisin og helsefag,gull,175
2013,Institutt,Medisin og helsefag,hybrid,70
2013,Institutt,Medisin og helsefag,grønn,105
2013,Institutt,Medisin og helsefag,lukket,661
2013,Institutt,Realfag og teknologi,diamant,17
2013,Institutt,Realfag og teknologi,gull,375
2013,Institutt,Realfag og teknologi,hybrid,64
2013,Institutt,Realfag og teknologi,grønn,346
2013,Institutt,Realfag og teknologi,deponert,1
2013,Institutt,Realfag og teknologi,lukket,1123
2013,Institutt,Samfunnsvitenskap,diamant,10
2013,Institutt,Samfunnsvitenskap,gull,36
2013,Institutt,Samfunnsvitenskap,hybrid,17
2013,Institutt,Samfunnsvitenskap,grønn,111
2013,Institutt,Samfunnsvitenskap,lukket,373
2013,UH,Alle,diamant,400
2013,UH,Alle,gull,1694
2013,UH,Alle,hybrid,653
2013,UH,Alle,grønn,2021
2013,UH,Alle,deponert,4
2013,UH,Alle,lukket,9191
2013,UH,Humaniora,diamant,115
2013,UH,Humaniora,gull,38
2013,UH,Humaniora,hybrid,11
2013,UH,Humaniora,grønn,95
2013,UH,Humaniora,deponert,1
2013,UH,Humaniora,lukket,706
2013,UH,Medisin og helsefag,diamant,89
2013,UH,Medisin og helsefag,gull,747
2013,UH,Medisin og helsefag,hybrid,241
2013,UH,Medisin og helsefag,grønn,515
2013,UH,Medisin og helsefag,lukket,3000
2013,UH,Realfag og teknologi,diamant,59
2013,UH,Realfag og teknologi,gull,772
2013,UH,Realfag og teknologi,hybrid,340
2013,UH,Realfag og teknologi,grønn,969
2013,UH,Realfag og teknologi,deponert,2
2013,UH,Realfag og teknologi,lukket,3368
2013,UH,Samfunnsvitenskap,diamant,137
2013,UH,Samfunnsvitenskap,gull,119
2013,UH,Samfunnsvitenskap,hybrid,39
2013,UH,Samfunnsvitenskap,grønn,329
2013,UH,Samfunnsvitenskap,deponert,1
2013,UH,Samfunnsvitenskap,lukket,1529
2014,ABM,Alle,lukket,1
2014,ABM,Humaniora,lukket,1
2014,Alle,Alle,diamant,691
2014,Alle,Alle,gull,2597
2014,Alle,Alle,hybrid,1103
2014,Alle,Alle,grønn,2696
2014,Alle,Alle,deponert,3
2014,Alle,Alle,lukket,10231
2014,Alle,Humaniora,diamant,215
2014,Alle,Humaniora,gull,68
2014,Alle,Humaniora,hybrid,22
2014,Alle,Humaniora,grønn,134
2014,Alle,Humaniora,lukket,698
2014,Alle,Medisin og helsefag,diamant,133
2014,Alle,Medisin og helsefag,gull,1100
2014,Alle,Medisin og helsefag,hybrid,491
2014,Alle,Medisin og helsefag,grønn,691
2014,Alle,Medisin og helsefag,lukket,3416
2014,Alle,Realfag og teknologi,diamant,155
2014,Alle,Realfag og teknologi,gull,1224
2014,Alle,Realfag og teknologi,hybrid,446
2014,Alle,Realfag og teknologi,grønn,1261
2014,Alle,Realfag og teknologi,deponert,2
2014,Alle,Realfag og teknologi,lukket,3659
2014,Alle,Samfunnsvitenskap,diamant,188
2014,Alle,Samfunnsvitenskap,gull,183
2014,Alle,Samfunnsvitenskap,hybrid,114
2014,Alle,Samfunnsvitenskap,grønn,481
2014,Alle,Samfunnsvitenskap,deponert,1
2014,Alle,Samfunnsvitenskap,lukket,1731
2014,Helse,Alle,diamant,80
2014,Helse,Alle,gull,807
2014,Helse,Alle,hybrid,329
2014,Helse,Alle,grønn,308
2014,Helse,Alle,lukket,2045
2014,Helse,Humaniora,gull,1
2014,Helse,Humaniora,grønn,2
2014,Helse,Humaniora,lukket,2
2014,Helse,Medisin og helsefag,diamant,72
2014,Helse,Medisin og helsefag,gull,563
2014,Helse,Medisin og helsefag,hybrid,296
2014,Helse,Medisin og helsefag,grønn,282
2014,Helse,Medisin og helsefag,lukket,1872
2014,Helse,Realfag og teknologi,diamant,5
2014,Helse,Realfag og teknologi,gull,222
2014,Helse,Realfag og teknologi,hybrid,20
2014,Helse,Realfag og teknologi,grønn,13
2014,Helse,Realfag og teknologi,lukket,110
2014,Helse,Samfunnsvitenskap,diamant,3
2014,Helse,Samfunnsvitenskap,gull,21
2014,Helse,Samfunnsvitenskap,hybrid,7
2014,Helse,Samfunnsvitenskap,grønn,4
2014,Helse,Samfunnsvitenskap,lukket,34
2014,Institutt,Alle,diamant,78
2014,Institutt,Alle,gull,702
2014,Institutt,Alle,hybrid,279
2014,Institutt,Alle,grønn,663
2014,Institutt,Alle,lukket,2191
2014,Institutt,Humaniora,diamant,7
2014,Institutt,Humaniora,gull,5
2014,Institutt,Humaniora,grønn,7
2014,Institutt,Humaniora,lukket,34
2014,Institutt,Medisin og helsefag,diamant,40
2014,Institutt,Medisin og helsefag,gull,239
2014,Institutt,Medisin og helsefag,hybrid,100
2014,Institutt,Medisin og helsefag,grønn,156
2014,Institutt,Medisin og helsefag,lukket,530
2014,Institutt,Realfag og teknologi,diamant,13
2014,Institutt,Realfag og teknologi,gull,427
2014,Institutt,Realfag og teknologi,hybrid,144
2014,Institutt,Realfag og teknologi,grønn,351
2014,Institutt,Realfag og teknologi,lukket,1119
2014,Institutt,Samfunnsvitenskap,diamant,18
2014,Institutt,Samfunnsvitenskap,gull,29
2014,Institutt,Samfunnsvitenskap,hybrid,29
2014,Institutt,Samfunnsvitenskap,grønn,126
2014,Institutt,Samfunnsvitenskap,lukket,338
2014,UH,Alle,diamant,616
2014,UH,Alle,gull,2145
2014,UH,Alle,hybrid,919
2014,UH,Alle,grønn,2338
2014,UH,Alle,deponert,3
2014,UH,Alle,lukket,8624
2014,UH,Humaniora,diamant,210
2014,UH,Humaniora,gull,65
2014,UH,Humaniora,hybrid,22
2014,UH,Humaniora,grønn,129
2014,UH,Humaniora,lukket,675
2014,UH,Medisin og helsefag,diamant,87
2014,UH,Medisin og helsefag,gull,938
2014,UH,Medisin og helsefag,hybrid,395
2014,UH,Medisin og helsefag,grønn,579
2014,UH,Medisin og helsefag,lukket,2789
2014,UH,Realfag og teknologi,diamant,144
2014,UH,Realfag og teknologi,gull,959
2014,UH,Realfag og teknologi,hybrid,380
2014,UH,Realfag og teknologi,grønn,1104
2014,UH,Realfag og teknologi,deponert,2
2014,UH,Realfag og teknologi,lukket,3033
2014,UH,Samfunnsvitenskap,diamant,175
2014,UH,Samfunnsvitenskap,gull,162
2014,UH,Samfunnsvitenskap,hybrid,98
2014,UH,Samfunnsvitenskap,grønn,404
2014,UH,Samfunnsvitenskap,deponert,1
2014,UH,Samfunnsvitenskap,lukket,1504
2015,ABM,Alle,diamant,1
2015,ABM,Alle,lukket,2
2015,ABM,Humaniora,diamant,1
2015,ABM,Humaniora,lukket,2
2015,Alle,Alle,diamant,718
2015,Alle,Alle,gull,2957
2015,Alle,Alle,hybrid,1266
2015,Alle,Alle,grønn,2965
2015,Alle,Alle,deponert,3
2015,Alle,Alle,lukket,10133
2015,Alle,Humaniora,diamant,203
2015,Alle,Humaniora,gull,75
2015,Alle,Humaniora,hybrid,22
2015,Alle,Humaniora,grønn,145
2015,Alle,Humaniora,deponert,1
2015,Alle,Humaniora,lukket,712
2015,Alle,Medisin og helsefag,diamant,150
2015,Alle,Medisin og helsefag,gull,1196
2015,Alle,Medisin og helsefag,hybrid,565
2015,Alle,Medisin og helsefag,grønn,753
2015,Alle,Medisin og helsefag,deponert,1
2015,Alle,Medisin og helsefag,lukket,3269
2015,Alle,Realfag og teknologi,diamant,184
2015,Alle,Realfag og teknologi,gull,1372
