year,discipline,status,total
2013,Realfag og teknologi,diamant,175
2013,Medisin og helsefag,diamant,112
2013,Samfunnsvitenskap,diamant,112
2013,Humaniora,diamant,67
2013,Realfag og teknologi,gull,840
2013,Medisin og helsefag,gull,706
2013,Samfunnsvitenskap,gull,359
2013,Humaniora,gull,172
2013,Realfag og teknologi,hybrid,299
2013,Medisin og helsefag,hybrid,227
2013,Samfunnsvitenskap,hybrid,143
2013,Humaniora,hybrid,59
2013,Realfag og teknologi,hybrid_avtale,0
2013,Medisin og helsefag,hybrid_avtale,0
2013,Samfunnsvitenskap,hybrid_avtale,0
2013,Humaniora,hybrid_avtale,0
2013,Realfag og teknologi,grønn,820
2013,Medisin og helsefag,grønn,656
2013,Samfunnsvitenskap,grønn,537
2013,Humaniora,grønn,288
2013,Realfag og teknologi,deponert,2
2013,Medisin og helsefag,deponert,1
2013,Samfunnsvitenskap,deponert,1
2013,Humaniora,deponert,1
2013,Realfag og teknologi,lukket,3824
2013,Medisin og helsefag,lukket,2642
2013,Samfunnsvitenskap,lukket,2505
2013,Humaniora,lukket,1598
2014,Realfag og teknologi,diamant,243
2014,Medisin og helsefag,diamant,181
2014,Samfunnsvitenskap,diamant,175
2014,Humaniora,diamant,99
2014,Realfag og teknologi,gull,985
2014,Medisin og helsefag,gull,885
2014,Samfunnsvitenskap,gull,466
2014,Humaniora,gull,216
2014,Realfag og teknologi,hybrid,487
2014,Medisin og helsefag,hybrid,349
2014,Samfunnsvitenskap,hybrid,212
2014,Humaniora,hybrid,85
2014,Realfag og teknologi,hybrid_avtale,0
2014,Medisin og helsefag,hybrid_avtale,0
2014,Samfunnsvitenskap,hybrid_avtale,0
2014,Humaniora,hybrid_avtale,0
2014,Realfag og teknologi,grønn,987
2014,Medisin og helsefag,grønn,770
2014,Samfunnsvitenskap,grønn,629
2014,Humaniora,grønn,340
2014,Realfag og teknologi,deponert,1
2014,Medisin og helsefag,deponert,1
2014,Samfunnsvitenskap,deponert,1
2014,Humaniora,deponert,0
2014,Realfag og teknologi,lukket,4017
2014,Medisin og helsefag,lukket,2598
2014,Samfunnsvitenskap,lukket,2387
2014,Humaniora,lukket,1493
2015,Realfag og teknologi,diamant,264
2015,Medisin og helsefag,diamant,187
2015,Samfunnsvitenskap,diamant,174
2015,Humaniora,diamant,112
2015,Realfag og teknologi,gull,1118
2015,Medisin og helsefag,gull,1089
2015,Samfunnsvitenskap,gull,528
2015,Humaniora,gull,227
2015,Realfag og teknologi,hybrid,555
2015,Medisin og helsefag,hybrid,378
2015,Samfunnsvitenskap,hybrid,246
2015,Humaniora,hybrid,105
2015,Realfag og teknologi,hybrid_avtale,0
2015,Medisin og helsefag,hybrid_avtale,0
2015,Samfunnsvitenskap,hybrid_avtale,0
2015,Humaniora,hybrid_avtale,0
2015,Realfag og teknologi,grønn,1122
2015,Medisin og helsefag,grønn,948
2015,Samfunnsvitenskap,grønn,632
2015,Humaniora,grønn,363
2015,Realfag og teknologi,deponert,1
2015,Medisin og helsefag,deponert,1
2015,Samfunnsvitenskap,deponert,1
2015,Humaniora,deponert,0
2015,Realfag og teknologi,lukket,3643
2015,Medisin og helsefag,lukket,2808
2015,Samfunnsvitenskap,lukket,2129
2015,Humaniora,lukket,1510
2016,Realfag og teknologi,diamant,316
2016,Medisin og helsefag,diamant,221
2016,Samfunnsvitenskap,diamant,231
2016,Humaniora,diamant,145
2016,Realfag og teknologi,gull,1395
2016,Medisin og helsefag,gull,1272
2016,Samfunnsvitenskap,gull,610
2016,Humaniora,gull,282
2016,Realfag og teknologi,hybrid,621
2016,Medisin og helsefag,hybrid,424
2016,Samfunnsvitenskap,hybrid,301
2016,Humaniora,hybrid,109
2016,Realfag og teknologi,hybrid_avtale,0
2016,Medisin og helsefag,hybrid_avtale,0
2016,Samfunnsvitenskap,hybrid_avtale,0
2016,Humaniora,hybrid_avtale,0
2016,Realfag og teknologi,grønn,1333
2016,Medisin og helsefag,grønn,1064
2016,Samfunnsvitenskap,grønn,748
2016,Humaniora,grønn,444
2016,Realfag og teknologi,deponert,3
2016,Medisin og helsefag,deponert,2
2016,Samfunnsvitenskap,deponert,1
2016,Humaniora,deponert,1
2016,Realfag og teknologi,lukket,3564
2016,Medisin og helsefag,lukket,2442
2016,Samfunnsvitenskap,lukket,2095
2016,Humaniora,lukket,1332
2017,Realfag og teknologi,diamant,379
2017,Medisin og helsefag,diamant,264
2017,Samfunnsvitenskap,diamant,276
2017,Humaniora,diamant,178
2017,Realfag og teknologi,gull,1742
2017,Medisin og helsefag,gull,1571
2017,Samfunnsvitenskap,gull,734
2017,Humaniora,gull,331
2017,Realfag og teknologi,hybrid,704
2017,Medisin og helsefag,hybrid,464
2017,Samfunnsvitenskap,hybrid,323
2017,Humaniora,hybrid,132
2017,Realfag og teknologi,hybrid_avtale,0
2017,Medisin og helsefag,hybrid_avtale,0
2017,Samfunnsvitenskap,hybrid_avtale,0
2017,Humaniora,hybrid_avtale,0
2017,Realfag og teknologi,grønn,2027
2017,Medisin og helsefag,grønn,1753
2017,Samfunnsvitenskap,grønn,1363
2017,Humaniora,grønn,733
2017,Realfag og teknologi,deponert,1
2017,Medisin og helsefag,deponert,1
2017,Samfunnsvitenskap,deponert,1
2017,Humaniora,deponert,0
2017,Realfag og teknologi,lukket,2876
2017,Medisin og helsefag,lukket,2104
2017,Samfunnsvitenskap,lukket,1764
2017,Humaniora,lukket,1111
2018,Realfag og teknologi,diamant,433
2018,Medisin og helsefag,diamant,308
2018,Samfunnsvitenskap,diamant,300
2018,Humaniora,diamant,186
2018,Realfag og teknologi,gull,1755
2018,Medisin og helsefag,gull,1617
2018,Samfunnsvitenskap,gull,704
2018,Humaniora,gull,348
2018,Realfag og teknologi,hybrid,841
2018,Medisin og helsefag,hybrid,565
2018,Samfunnsvitenskap,hybrid,404
2018,Humaniora,hybrid,157
2018,Realfag og teknologi,hybrid_avtale,0
2018,Medisin og helsefag,hybrid_avtale,0
2018,Samfunnsvitenskap,hybrid_avtale,0
2018,Humaniora,hybrid_avtale,0
2018,Realfag og teknologi,grønn,2488
2018,Medisin og helsefag,grønn,1888
2018,Samfunnsvitenskap,grønn,1450
2018,Humaniora,grønn,763
2018,Realfag og teknologi,deponert,5
2018,Medisin og helsefag,deponert,3
2018,Samfunnsvitenskap,deponert,2
2018,Humaniora,deponert,2
2018,Realfag og teknologi,lukket,2826
2018,Medisin og helsefag,lukket,1832
2018,Samfunnsvitenskap,lukket,1626
2018,Humaniora,lukket,1016
2019,Realfag og teknologi,diamant,491
2019,Medisin og helsefag,diamant,333
2019,Samfunnsvitenskap,diamant,349
2019,Humaniora,diamant,208
2019,Realfag og teknologi,gull,2252
2019,Medisin og helsefag,gull,2000
2019,Samfunnsvitenskap,gull,943
2019,Humaniora,gull,464
2019,Realfag og teknologi,hybrid,849
2019,Medisin og helsefag,hybrid,636
2019,Samfunnsvitenskap,hybrid,415
2019,Humaniora,hybrid,160
2019,Realfag og teknologi,hybrid_avtale,501
2019,Medisin og helsefag,hybrid_avtale,381
2019,Samfunnsvitenskap,hybrid_avtale,227
2019,Humaniora,hybrid_avtale,102
2019,Realfag og teknologi,grønn,2459
2019,Medisin og helsefag,grønn,2079
2019,Samfunnsvitenskap,grønn,1451
2019,Humaniora,grønn,769
2019,Realfag og teknologi,deponert,3
2019,Medisin og helsefag,deponert,2
2019,Samfunnsvitenskap,deponert,1
2019,Humaniora,deponert,1
2019,Realfag og teknologi,lukket,2090
2019,Medisin og helsefag,lukket,1450
2019,Samfunnsvitenskap,lukket,1309
2019,Humaniora,lukket,834
2020,Realfag og teknologi,diamant,485
2020,Medisin og helsefag,diamant,364
2020,Samfunnsvitenskap,diamant,371
2020,Humaniora,diamant,219
2020,Realfag og teknologi,gull,2532
2020,Medisin og helsefag,gull,2284
