institution,year,status,total
Akershus universitetssykehus HF,2013,diamant,12
Akershus universitetssykehus HF,2013,gull,50
Akershus universitetssykehus HF,2013,hybrid,8
Akershus universitetssykehus HF,2013,grønn,15
Akershus universitetssykehus HF,2013,lukket,143
Akershus universitetssykehus HF,2014,diamant,5
Akershus universitetssykehus HF,2014,gull,60
Akershus universitetssykehus HF,2014,hybrid,24
Akershus universitetssykehus HF,2014,grønn,16
Akershus universitetssykehus HF,2014,lukket,132
Akershus universitetssykehus HF,2015,diamant,12
Akershus universitetssykehus HF,2015,gull,67
Akershus universitetssykehus HF,2015,hybrid,28
Akershus universitetssykehus HF,2015,grønn,25
Akershus universitetssykehus HF,2015,lukket,151
Akershus universitetssykehus HF,2016,diamant,7
Akershus universitetssykehus HF,2016,gull,102
Akershus universitetssykehus HF,2016,hybrid,28
Akershus universitetssykehus HF,2016,grønn,42
Akershus universitetssykehus HF,2016,lukket,178
Akershus universitetssykehus HF,2017,diamant,10
Akershus universitetssykehus HF,2017,gull,128
Akershus universitetssykehus HF,2017,hybrid,30
Akershus universitetssykehus HF,2017,grønn,89
Akershus universitetssykehus HF,2017,lukket,97
Akershus universitetssykehus HF,2018,diamant,13
Akershus universitetssykehus HF,2018,gull,93
Akershus universitetssykehus HF,2018,hybrid,42
Akershus universitetssykehus HF,2018,grønn,86
Akershus universitetssykehus HF,2018,lukket,86
Akershus universitetssykehus HF,2019,diamant,11
Akershus universitetssykehus HF,2019,gull,122
Akershus universitetssykehus HF,2019,hybrid,33
Akershus universitetssykehus HF,2019,hybrid_avtale,14
Akershus universitetssykehus HF,2019,grønn,76
Akershus universitetssykehus HF,2019,deponert,1
Akershus universitetssykehus HF,2019,lukket,63
Akershus universitetssykehus HF,2020,diamant,11
Akershus universitetssykehus HF,2020,gull,125
Akershus universitetssykehus HF,2020,hybrid,30
Akershus universitetssykehus HF,2020,hybrid_avtale,68
Akershus universitetssykehus HF,2020,grønn,56
Akershus universitetssykehus HF,2020,deponert,1
Akershus universitetssykehus HF,2020,lukket,40
Akershus universitetssykehus HF,2021,diamant,12
Akershus universitetssykehus HF,2021,gull,175
Akershus universitetssykehus HF,2021,hybrid,51
Akershus universitetssykehus HF,2021,hybrid_avtale,100
Akershus universitetssykehus HF,2021,grønn,41
Akershus universitetssykehus HF,2021,lukket,48
Akershus universitetssykehus HF,2022,diamant,3
Akershus universitetssykehus HF,2022,gull,208
Akershus universitetssykehus HF,2022,hybrid,48
Akershus universitetssykehus HF,2022,hybrid_avtale,87
Akershus universitetssykehus HF,2022,grønn,44
Akershus universitetssykehus HF,2022,lukket,38
Akershus universitetssykehus HF,2023,diamant,12
Akershus universitetssykehus HF,2023,gull,174
Akershus universitetssykehus HF,2023,hybrid,60
Akershus universitetssykehus HF,2023,hybrid_avtale,87
Akershus universitetssykehus HF,2023,grønn,28
Akershus universitetssykehus HF,2023,lukket,40
Akershus universitetssykehus HF,2024,diamant,17
Akershus universitetssykehus HF,2024,gull,183
Akershus universitetssykehus HF,2024,hybrid,55
Akershus universitetssykehus HF,2024,hybrid_avtale,91
Akershus universitetssykehus HF,2024,grønn,28
Akershus universitetssykehus HF,2024,deponert,2
Akershus universitetssykehus HF,2024,lukket,44
Akershus universitetssykehus HF,2025,diamant,13
Akershus universitetssykehus HF,2025,gull,224
Akershus universitetssykehus HF,2025,hybrid,79
Akershus universitetssykehus HF,2025,hybrid_avtale,92
Akershus universitetssykehus HF,2025,grønn,31
Akershus universitetssykehus HF,2025,deponert,18
Akershus universitetssykehus HF,2025,lukket,43
Akvaplan-niva AS,2022,diamant,1
Akvaplan-niva AS,2022,gull,20
Akvaplan-niva AS,2022,hybrid,8
Akvaplan-niva AS,2022,hybrid_avtale,8
Akvaplan-niva AS,2022,grønn,5
Akvaplan-niva AS,2022,lukket,6
Akvaplan-niva AS,2023,gull,27
Akvaplan-niva AS,2023,hybrid,5
Akvaplan-niva AS,2023,hybrid_avtale,20
Akvaplan-niva AS,2023,grønn,6
Akvaplan-niva AS,2023,lukket,3
Akvaplan-niva AS,2024,diamant,1
Akvaplan-niva AS,2024,gull,29
Akvaplan-niva AS,2024,hybrid,7
Akvaplan-niva AS,2024,hybrid_avtale,10
Akvaplan-niva AS,2024,grønn,2
Akvaplan-niva AS,2024,lukket,6
Akvaplan-niva AS,2025,diamant,1
Akvaplan-niva AS,2025,gull,33
Akvaplan-niva AS,2025,hybrid,8
Akvaplan-niva AS,2025,hybrid_avtale,11
Akvaplan-niva AS,2025,grønn,2
Akvaplan-niva AS,2025,deponert,2
Akvaplan-niva AS,2025,lukket,6
Ansgar høyskole,2013,diamant,1
Ansgar høyskole,2013,grønn,1
Ansgar høyskole,2013,lukket,3
Ansgar høyskole,2014,gull,1
Ansgar høyskole,2014,grønn,1
Ansgar høyskole,2014,lukket,6
Ansgar høyskole,2015,diamant,1
Ansgar høyskole,2015,grønn,1
Ansgar høyskole,2015,lukket,4
Ansgar høyskole,2016,diamant,2
Ansgar høyskole,2016,gull,1
Ansgar høyskole,2016,lukket,6
Ansgar høyskole,2017,diamant,2
Ansgar høyskole,2017,lukket,2
Ansgar høyskole,2018,gull,1
Ansgar høyskole,2018,lukket,5
Ansgar høyskole,2019,diamant,1
Ansgar høyskole,2019,gull,1
Ansgar høyskole,2019,lukket,6
Ansgar høyskole,2020,diamant,2
Ansgar høyskole,2020,gull,1
Ansgar høyskole,2020,lukket,7
Ansgar høyskole,2021,diamant,2
Ansgar høyskole,2021,grønn,1
Ansgar høyskole,2021,lukket,6
