year,status,total
2013,diamant,472
2013,gull,2084
2013,hybrid,742
2013,hybrid_avtale,0
2013,grønn,2351
2013,deponert,4
2013,lukket,10805
2014,diamant,691
2014,gull,2597
2014,hybrid,1103
2014,hybrid_avtale,0
2014,grønn,2696
2014,deponert,3
2014,lukket,10231
2015,diamant,718
2015,gull,2957
2015,hybrid,1266
2015,hybrid_avtale,0
2015,grønn,2965
2015,deponert,3
2015,lukket,10133
2016,diamant,934
2016,gull,3581
2016,hybrid,1464
2016,hybrid_avtale,0
2016,grønn,3617
2016,deponert,7
2016,lukket,9648
2017,diamant,1115
2017,gull,4250
2017,hybrid,1664
2017,hybrid_avtale,0
2017,grønn,5866
2017,deponert,3
2017,lukket,7747
2018,diamant,1286
2018,gull,4404
2018,hybrid,1967
2018,hybrid_avtale,0
2018,grønn,6660
2018,deponert,11
2018,lukket,7090
2019,diamant,1314
2019,gull,5543
2019,hybrid,2007
2019,hybrid_avtale,1235
2019,grønn,6810
2019,deponert,7
2019,lukket,5793
2020,diamant,1475
2020,gull,6600
2020,hybrid,2261
2020,hybrid_avtale,3820
2020,grønn,5417
2020,deponert,34
2020,lukket,4838
2021,diamant,1508
2021,gull,8055
2021,hybrid,2994
2021,hybrid_avtale,4638
2021,grønn,4783
2021,deponert,32
2021,lukket,4779
2022,diamant,1494
2022,gull,8302
2022,hybrid,3228
2022,hybrid_avtale,4419
2022,grønn,3795
2022,deponert,47
2022,lukket,4042
2023,diamant,1693
2023,gull,8281
2023,hybrid,3622
2023,hybrid_avtale,4829
2023,grønn,3196
2023,deponert,80
2023,lukket,3597
2024,diamant,1741
2024,gull,8211
2024,hybrid,3812
2024,hybrid_avtale,5124
2024,grønn,2604
2024,deponert,97
2024,lukket,3515
2025,diamant,1849
2025,gull,8410
2025,hybrid,4153
2025,hybrid_avtale,4467
2025,grønn,2731
2025,deponert,750
2025,lukket,3364
