year,sector,discipline,status,total
2013,Alle,Alle,diamant,472
2013,UH,Alle,diamant,361
2013,Institutt,Alle,diamant,44
2013,Helse,Alle,diamant,69
2013,Alle,Realfag og teknologi,diamant,159
2013,Alle,Medisin og helsefag,diamant,122
2013,Alle,Samfunnsvitenskap,diamant,121
2013,Alle,Humaniora,diamant,75
2013,UH,Realfag og teknologi,diamant,114
2013,UH,Medisin og helsefag,diamant,87
2013,UH,Samfunnsvitenskap,diamant,80
2013,UH,Humaniora,diamant,50
2013,Institutt,Realfag og teknologi,diamant,17
2013,Institutt,Medisin og helsefag,diamant,11
2013,Institutt,Samfunnsvitenskap,diamant,11
2013,Institutt,Humaniora,diamant,7
2013,Helse,Realfag og teknologi,diamant,25
2013,Helse,Medisin og helsefag,diamant,17
2013,Helse,Samfunnsvitenskap,diamant,18
2013,Helse,Humaniora,diamant,11
2013,Alle,Alle,gull,2084
2013,UH,Alle,gull,1358
2013,Institutt,Alle,gull,283
2013,Helse,Alle,gull,364
2013,Alle,Realfag og teknologi,gull,815
2013,Alle,Medisin og helsefag,gull,694
2013,Alle,Samfunnsvitenskap,gull,377
2013,Alle,Humaniora,gull,163
2013,UH,Realfag og teknologi,gull,536
2013,UH,Medisin og helsefag,gull,469
2013,UH,Samfunnsvitenskap,gull,265
2013,UH,Humaniora,gull,119
2013,Institutt,Realfag og teknologi,gull,115
2013,Institutt,Medisin og helsefag,gull,99
2013,Institutt,Samfunnsvitenskap,gull,46
2013,Institutt,Humaniora,gull,24
2013,Helse,Realfag og teknologi,gull,138
2013,Helse,Medisin og helsefag,gull,125
2013,Helse,Samfunnsvitenskap,gull,64
2013,Helse,Humaniora,gull,29
2013,Alle,Alle,hybrid,742
2013,UH,Alle,hybrid,561
2013,Institutt,Alle,hybrid,105
2013,Helse,Alle,hybrid,107
2013,Alle,Realfag og teknologi,hybrid,292
2013,Alle,Medisin og helsefag,hybrid,214
2013,Alle,Samfunnsvitenskap,hybrid,144
2013,Alle,Humaniora,hybrid,56
2013,UH,Realfag og teknologi,hybrid,212
2013,UH,Medisin og helsefag,hybrid,147
2013,UH,Samfunnsvitenskap,hybrid,102
2013,UH,Humaniora,hybrid,44
2013,Institutt,Realfag og teknologi,hybrid,42
2013,Institutt,Medisin og helsefag,hybrid,30
2013,Institutt,Samfunnsvitenskap,hybrid,20
2013,Institutt,Humaniora,hybrid,8
2013,Helse,Realfag og teknologi,hybrid,47
2013,Helse,Medisin og helsefag,hybrid,32
2013,Helse,Samfunnsvitenskap,hybrid,21
2013,Helse,Humaniora,hybrid,8
2013,Alle,Alle,hybrid_avtale,0
2013,UH,Alle,hybrid_avtale,0
2013,Institutt,Alle,hybrid_avtale,0
2013,Helse,Alle,hybrid_avtale,0
2013,Alle,Realfag og teknologi,hybrid_avtale,0
2013,Alle,Medisin og helsefag,hybrid_avtale,0
2013,Alle,Samfunnsvitenskap,hybrid_avtale,0
2013,Alle,Humaniora,hybrid_avtale,0
2013,UH,Realfag og teknologi,hybrid_avtale,0
2013,UH,Medisin og helsefag,hybrid_avtale,0
2013,UH,Samfunnsvitenskap,hybrid_avtale,0
2013,UH,Humaniora,hybrid_avtale,0
2013,Institutt,Realfag og teknologi,hybrid_avtale,0
2013,Institutt,Medisin og helsefag,hybrid_avtale,0
2013,Institutt,Samfunnsvitenskap,hybrid_avtale,0
2013,Institutt,Humaniora,hybrid_avtale,0
2013,Helse,Realfag og teknologi,hybrid_avtale,0
2013,Helse,Medisin og helsefag,hybrid_avtale,0
2013,Helse,Samfunnsvitenskap,hybrid_avtale,0
2013,Helse,Humaniora,hybrid_avtale,0
2013,Alle,Alle,grønn,2351
2013,UH,Alle,grønn,1642
2013,Institutt,Alle,grønn,280
2013,Helse,Alle,grønn,500
2013,Alle,Realfag og teknologi,grønn,816
2013,Alle,Medisin og helsefag,grønn,711
2013,Alle,Samfunnsvitenskap,grønn,500
2013,Alle,Humaniora,grønn,285
2013,UH,Realfag og teknologi,grønn,603
2013,UH,Medisin og helsefag,grønn,456
2013,UH,Samfunnsvitenskap,grønn,322
2013,UH,Humaniora,grønn,205
2013,Institutt,Realfag og teknologi,grønn,102
2013,Institutt,Medisin og helsefag,grønn,78
2013,Institutt,Samfunnsvitenskap,grønn,56
2013,Institutt,Humaniora,grønn,31
2013,Helse,Realfag og teknologi,grønn,191
2013,Helse,Medisin og helsefag,grønn,164
2013,Helse,Samfunnsvitenskap,grønn,112
2013,Helse,Humaniora,grønn,57
2013,Alle,Alle,deponert,4
2013,UH,Alle,deponert,3
2013,Institutt,Alle,deponert,1
2013,Helse,Alle,deponert,1
2013,Alle,Realfag og teknologi,deponert,2
2013,Alle,Medisin og helsefag,deponert,1
2013,Alle,Samfunnsvitenskap,deponert,1
2013,Alle,Humaniora,deponert,1
2013,UH,Realfag og teknologi,deponert,1
2013,UH,Medisin og helsefag,deponert,1
2013,UH,Samfunnsvitenskap,deponert,1
2013,UH,Humaniora,deponert,0
2013,Institutt,Realfag og teknologi,deponert,0
2013,Institutt,Medisin og helsefag,deponert,0
2013,Institutt,Samfunnsvitenskap,deponert,0
2013,Institutt,Humaniora,deponert,0
2013,Helse,Realfag og teknologi,deponert,0
2013,Helse,Medisin og helsefag,deponert,0
2013,Helse,Samfunnsvitenskap,deponert,0
2013,Helse,Humaniora,deponert,0
2013,Alle,Alle,lukket,10805
2013,UH,Alle,lukket,7772
2013,Institutt,Alle,lukket,2046
2013,Helse,Alle,lukket,1470
2013,Alle,Realfag og teknologi,lukket,4186
2013,Alle,Medisin og helsefag,lukket,2852
2013,Alle,Samfunnsvitenskap,lukket,2262
2013,Alle,Humaniora,lukket,1568
2013,UH,Realfag og teknologi,lukket,2814
2013,UH,Medisin og helsefag,lukket,2017
2013,UH,Samfunnsvitenskap,lukket,1626
2013,UH,Humaniora,lukket,926
2013,Institutt,Realfag og teknologi,lukket,713
2013,Institutt,Medisin og helsefag,lukket,457
2013,Institutt,Samfunnsvitenskap,lukket,465
2013,Institutt,Humaniora,lukket,293
2013,Helse,Realfag og teknologi,lukket,613
2013,Helse,Medisin og helsefag,lukket,378
2013,Helse,Samfunnsvitenskap,lukket,303
2013,Helse,Humaniora,lukket,228
2014,Alle,Alle,diamant,691
2014,UH,Alle,diamant,551
2014,Institutt,Alle,diamant,65
2014,Helse,Alle,diamant,103
2014,Alle,Realfag og teknologi,diamant,227
2014,Alle,Medisin og helsefag,diamant,179
2014,Alle,Samfunnsvitenskap,diamant,179
2014,Alle,Humaniora,diamant,98
2014,UH,Realfag og teknologi,diamant,180
2014,UH,Medisin og helsefag,diamant,131
2014,UH,Samfunnsvitenskap,diamant,123
2014,UH,Humaniora,diamant,84
2014,Institutt,Realfag og teknologi,diamant,24
2014,Institutt,Medisin og helsefag,diamant,16
2014,Institutt,Samfunnsvitenskap,diamant,17
2014,Institutt,Humaniora,diamant,11
2014,Helse,Realfag og teknologi,diamant,34
2014,Helse,Medisin og helsefag,diamant,25
2014,Helse,Samfunnsvitenskap,diamant,28
2014,Helse,Humaniora,diamant,16
2014,Alle,Alle,gull,2597
2014,UH,Alle,gull,1802
2014,Institutt,Alle,gull,338
2014,Helse,Alle,gull,418
2014,Alle,Realfag og teknologi,gull,999
2014,Alle,Medisin og helsefag,gull,888
2014,Alle,Samfunnsvitenskap,gull,447
2014,Alle,Humaniora,gull,200
2014,UH,Realfag og teknologi,gull,686
2014,UH,Medisin og helsefag,gull,582
2014,UH,Samfunnsvitenskap,gull,317
2014,UH,Humaniora,gull,138
2014,Institutt,Realfag og teknologi,gull,146
2014,Institutt,Medisin og helsefag,gull,127
2014,Institutt,Samfunnsvitenskap,gull,52
2014,Institutt,Humaniora,gull,26
2014,Helse,Realfag og teknologi,gull,183
2014,Helse,Medisin og helsefag,gull,146
2014,Helse,Samfunnsvitenskap,gull,70
2014,Helse,Humaniora,gull,38
2014,Alle,Alle,hybrid,1103
2014,UH,Alle,hybrid,802
2014,Institutt,Alle,hybrid,154
2014,Helse,Alle,hybrid,161
2014,Alle,Realfag og teknologi,hybrid,483
2014,Alle,Medisin og helsefag,hybrid,317
2014,Alle,Samfunnsvitenskap,hybrid,208
2014,Alle,Humaniora,hybrid,87
2014,UH,Realfag og teknologi,hybrid,328
2014,UH,Medisin og helsefag,hybrid,237
2014,UH,Samfunnsvitenskap,hybrid,166
2014,UH,Humaniora,hybrid,66
2014,Institutt,Realfag og teknologi,hybrid,71
2014,Institutt,Medisin og helsefag,hybrid,43
2014,Institutt,Samfunnsvitenskap,hybrid,30
2014,Institutt,Humaniora,hybrid,12
2014,Helse,Realfag og teknologi,hybrid,70
2014,Helse,Medisin og helsefag,hybrid,44
2014,Helse,Samfunnsvitenskap,hybrid,29
2014,Helse,Humaniora,hybrid,12
2014,Alle,Alle,hybrid_avtale,0
2014,UH,Alle,hybrid_avtale,0
2014,Institutt,Alle,hybrid_avtale,0
2014,Helse,Alle,hybrid_avtale,0
2014,Alle,Realfag og teknologi,hybrid_avtale,0
2014,Alle,Medisin og helsefag,hybrid_avtale,0
2014,Alle,Samfunnsvitenskap,hybrid_avtale,0
2014,Alle,Humaniora,hybrid_avtale,0
2014,UH,Realfag og teknologi,hybrid_avtale,0
2014,UH,Medisin og helsefag,hybrid_avtale,0
2014,UH,Samfunnsvitenskap,hybrid_avtale,0
2014,UH,Humaniora,hybrid_avtale,0
2014,Institutt,Realfag og teknologi,hybrid_avtale,0
2014,Institutt,Medisin og helsefag,hybrid_avtale,0
2014,Institutt,Samfunnsvitenskap,hybrid_avtale,0
2014,Institutt,Humaniora,hybrid_avtale,0
2014,Helse,Realfag og teknologi,hybrid_avtale,0
2014,Helse,Medisin og helsefag,hybrid_avtale,0
2014,Helse,Samfunnsvitenskap,hybrid_avtale,0
2014,Helse,Humaniora,hybrid_avtale,0
2014,Alle,Alle,grønn,2696
2014,UH,Alle,grønn,1900
2014,Institutt,Alle,grønn,313
2014,Helse,Alle,grønn,617
2014,Alle,Realfag og teknologi,grønn,964
2014,Alle,Medisin og helsefag,grønn,800
2014,Alle,Samfunnsvitenskap,grønn,631
2014,Alle,Humaniora,grønn,346
2014,UH,Realfag og teknologi,grønn,648
2014,UH,Medisin og helsefag,grønn,557
2014,UH,Samfunnsvitenskap,grønn,364
2014,UH,Humaniora,grønn,205
2014,Institutt,Realfag og teknologi,grønn,127
2014,Institutt,Medisin og helsefag,grønn,99
