year,sector,status,total
2013,UH,diamant,361
2013,Institutt,diamant,44
2013,Helse,diamant,69
2013,UH,gull,1402
2013,Institutt,gull,280
2013,Helse,gull,363
2013,UH,hybrid,564
2013,Institutt,hybrid,98
2013,Helse,hybrid,103
2013,UH,hybrid_avtale,0
2013,Institutt,hybrid_avtale,0
2013,Helse,hybrid_avtale,0
2013,UH,grønn,1449
2013,Institutt,grønn,270
2013,Helse,grønn,528
2013,UH,deponert,3
2013,Institutt,deponert,1
2013,Helse,deponert,1
2013,UH,lukket,7666
2013,Institutt,lukket,1811
2013,Helse,lukket,1577
2014,UH,diamant,533
2014,Institutt,diamant,68
2014,Helse,diamant,99
2014,UH,gull,1934
2014,Institutt,gull,330
2014,Helse,gull,416
2014,UH,hybrid,749
2014,Institutt,hybrid,162
2014,Helse,hybrid,157
2014,UH,hybrid_avtale,0
2014,Institutt,hybrid_avtale,0
2014,Helse,hybrid_avtale,0
2014,UH,grønn,1897
2014,Institutt,grønn,318
2014,Helse,grønn,597
2014,UH,deponert,2
2014,Institutt,deponert,0
2014,Helse,deponert,0
2014,UH,lukket,7032
2014,Institutt,lukket,1894
2014,Helse,lukket,1341
2015,UH,diamant,518
2015,Institutt,diamant,70
2015,Helse,diamant,101
2015,UH,gull,1992
2015,Institutt,gull,363
2015,Helse,gull,487
2015,UH,hybrid,929
2015,Institutt,hybrid,174
2015,Helse,hybrid,174
2015,UH,hybrid_avtale,0
2015,Institutt,hybrid_avtale,0
2015,Helse,hybrid_avtale,0
2015,UH,grønn,1997
2015,Institutt,grønn,361
2015,Helse,grønn,622
2015,UH,deponert,2
2015,Institutt,deponert,0
2015,Helse,deponert,0
2015,UH,lukket,7363
2015,Institutt,lukket,1860
2015,Helse,lukket,1430
2016,UH,diamant,719
2016,Institutt,diamant,98
2016,Helse,diamant,146
2016,UH,gull,2412
2016,Institutt,gull,435
2016,Helse,gull,593
2016,UH,hybrid,1020
2016,Institutt,hybrid,197
2016,Helse,hybrid,218
2016,UH,hybrid_avtale,0
2016,Institutt,hybrid_avtale,0
2016,Helse,hybrid_avtale,0
2016,UH,grønn,2352
2016,Institutt,grønn,459
2016,Helse,grønn,791
2016,UH,deponert,5
2016,Institutt,deponert,1
2016,Helse,deponert,1
2016,UH,lukket,6343
2016,Institutt,lukket,1757
2016,Helse,lukket,1426
2017,UH,diamant,824
2017,Institutt,diamant,107
2017,Helse,diamant,179
2017,UH,gull,2979
2017,Institutt,gull,521
2017,Helse,gull,677
2017,UH,hybrid,1133
2017,Institutt,hybrid,237
2017,Helse,hybrid,242
2017,UH,hybrid_avtale,0
2017,Institutt,hybrid_avtale,0
2017,Helse,hybrid_avtale,0
2017,UH,grønn,4140
2017,Institutt,grønn,707
2017,Helse,grønn,1376
2017,UH,deponert,2
2017,Institutt,deponert,0
2017,Helse,deponert,0
2017,UH,lukket,5402
2017,Institutt,lukket,1402
2017,Helse,lukket,1049
2018,UH,diamant,984
2018,Institutt,diamant,122
2018,Helse,diamant,191
2018,UH,gull,3063
2018,Institutt,gull,609
2018,Helse,gull,788
2018,UH,hybrid,1369
2018,Institutt,hybrid,275
2018,Helse,hybrid,263
2018,UH,hybrid_avtale,0
2018,Institutt,hybrid_avtale,0
2018,Helse,hybrid_avtale,0
2018,UH,grønn,4481
2018,Institutt,grønn,811
2018,Helse,grønn,1394
2018,UH,deponert,8
2018,Institutt,deponert,2
2018,Helse,deponert,2
2018,UH,lukket,4842
2018,Institutt,lukket,1187
2018,Helse,lukket,968
2019,UH,diamant,919
2019,Institutt,diamant,139
2019,Helse,diamant,208
2019,UH,gull,4060
2019,Institutt,gull,701
2019,Helse,gull,884
2019,UH,hybrid,1522
2019,Institutt,hybrid,299
2019,Helse,hybrid,265
2019,UH,hybrid_avtale,961
2019,Institutt,hybrid_avtale,116
2019,Helse,hybrid_avtale,154
2019,UH,grønn,4662
2019,Institutt,grønn,775
2019,Helse,grønn,1493
2019,UH,deponert,5
2019,Institutt,deponert,1
2019,Helse,deponert,1
2019,UH,lukket,3897
2019,Institutt,lukket,1001
2019,Helse,lukket,815
2020,UH,diamant,1142
2020,Institutt,diamant,141
2020,Helse,diamant,215
2020,UH,gull,4940
2020,Institutt,gull,876
2020,Helse,gull,1112
2020,UH,hybrid,1632
2020,Institutt,hybrid,300
2020,Helse,hybrid,304
2020,UH,hybrid_avtale,2912
2020,Institutt,hybrid_avtale,387
2020,Helse,hybrid_avtale,441
2020,UH,grønn,3435
2020,Institutt,grønn,611
2020,Helse,grønn,1214
2020,UH,deponert,23
2020,Institutt,deponert,5
2020,Helse,deponert,5
2020,UH,lukket,3092
2020,Institutt,lukket,839
2020,Helse,lukket,693
2021,UH,diamant,1086
2021,Institutt,diamant,143
2021,Helse,diamant,240
2021,UH,gull,5695
2021,Institutt,gull,1043
2021,Helse,gull,1424
2021,UH,hybrid,2248
2021,Institutt,hybrid,401
2021,Helse,hybrid,396
2021,UH,hybrid_avtale,3583
2021,Institutt,hybrid_avtale,459
2021,Helse,hybrid_avtale,554
2021,UH,grønn,3258
2021,Institutt,grønn,588
2021,Helse,grønn,1124
2021,UH,deponert,21
2021,Institutt,deponert,5
2021,Helse,deponert,5
2021,UH,lukket,3414
2021,Institutt,lukket,830
2021,Helse,lukket,640
2022,UH,diamant,1112
2022,Institutt,diamant,148
2022,Helse,diamant,217
2022,UH,gull,5608
2022,Institutt,gull,1143
2022,Helse,gull,1400
2022,UH,hybrid,2442
2022,Institutt,hybrid,455
2022,Helse,hybrid,423
2022,UH,hybrid_avtale,3688
2022,Institutt,hybrid_avtale,463
2022,Helse,hybrid_avtale,565
2022,UH,grønn,2654
2022,Institutt,grønn,478
2022,Helse,grønn,796
2022,UH,deponert,33
2022,Institutt,deponert,7
2022,Helse,deponert,7
2022,UH,lukket,2579
2022,Institutt,lukket,715
2022,Helse,lukket,604
2023,UH,diamant,1228
2023,Institutt,diamant,176
2023,Helse,diamant,252
2023,UH,gull,5734
2023,Institutt,gull,1145
2023,Helse,gull,1505
2023,UH,hybrid,2628
2023,Institutt,hybrid,523
2023,Helse,hybrid,483
2023,UH,hybrid_avtale,3659
2023,Institutt,hybrid_avtale,515
2023,Helse,hybrid_avtale,586
2023,UH,grønn,2122
